Type	Chat
fighting	Tµi n¨ng thËt xuÊt chóng
fighting	VÉn lµ ng­¬i ng­u bøc
fighting	D¸m m¾ng ta
fighting	§õng lµm rén
fighting	Ta cã lêi muèn nãi
fighting	Kh«ng cã t©m t×nh a
fighting	§· l©u kh«ng gÆp
fighting	§ãng cöa th¶ chã
fighting	Ên ®­êng ng­¬i cã mµu ®en a
fighting	Ta lîi h¹i kh«ng
fighting	Ai thua lµm ch¸u trai
fighting	N·o ng­¬i nhóng n­íc sao
fighting	§¸ng tiÕc a
fighting	H¾n lµ h¾n, ta lµ ta
fighting	HÑn ngµy t¸i chiÕn
fighting	H·y xem nh­ ®©y lµ mét bµi häc
fighting	Mét ®êi nµy, chÕt kh«ng tiÕc
fighting	Run rÈy ®i
fighting	LËp tr­êng kh¸c nhau, tÊt xung ®ét
fighting	Th©n ph¸p thËt nhanh
fighting	Chiªu thøc thËt m¹nh
fighting	Ng­¬i lîi h¹i!
fighting	T¹i sao l¹i nh­ vËy
fighting	Tíi qu¸ muén
fighting	TiÕc nuèi sao?
fighting	Ta nh­ chÕt, ng­¬i cßn nhí ®Õn ta sao
fighting	Ng­¬i chÕt sÏ kh«ng ai v× ng­¬i mµ khãc
fighting	Trªn tay ng­¬i lµ thÇn binh sao
fighting	ThËt xin lçi, ta cÇn vËt Êy
fighting	Tr¶ l¹i ngäc béi cho gia gia ta
fighting	Ng­¬i cßn nhí ngµy ®ã sao
fighting	Ta c¶ ®êi nµy, sèng chØ ®Ó giÕt ng­¬i
fighting	DiÖu hay kh«ng diÖu
fighting	Xem ®ßn s¸t thñ
fighting	§ì chiªu
fighting	HÌn h¹!
fighting	Qu¸ m¹nh
fighting	§õng Ğp ta
fighting	Ta cã thÓ nhËn thua sao
fighting	Th¾ng ta 1 lÇn, kh«ng cã nghÜa cã lÇn 2
fighting	Cã thÓ dõng t¹i ®©y
fighting	C¸c ng­¬i trªn trêi cã linh, tÊt vui mõng
fighting	Sinh tö, mÖnh do trêi
fighting	¸c víi tui qu¸ vËy
fighting	Lµ ta
fighting	Thay ®æi thËt lín
fighting	ThÇn tiªn ®Õn còng kh«ng cøu ®­îc ng­¬i
fighting	1 trong 2 ta ph¶i chÕt
fighting	Lµ do ng­¬i h¹i ta
fighting	Ta chİnh lµ hung thñ
fighting	Më m¾t ra xem cho kü
fighting	Sèng ph¶i thÊy ng­êi, chÕt ph¶i thÊy x¸c
fighting	Ng­¬i thËt treo a
fighting	Bİ mËt ı sÏ cïng ng­¬i ch«n cïng
fighting	Bİ mËt Êy sÏ cïng ta ch«n cïng
fighting	NÕu ng­¬i lµ ta, ng­¬i sÏ lµm thÕ nµo
fighting	NÕu ng­¬i lµ ta, ng­¬i cã d¸m
fighting	V× saooooo
fighting	Ta thËt v« dông
fighting	Ng­¬i thËt v« dông
fighting	Ng­¬i kh«ng ph¶i ta
fighting	Ta kh«ng ph¶i ng­¬i
fighting	Tu vi cña ng­¬i kh«ng ®ñ
fighting	Tu vi cña ta kh«ng ®ñ
fighting	TÊt c¶ do ng­¬i mµ ra
fighting	LÇn nµy lµ c¶nh c¸o
fighting	Chí ®i
fighting	C¬m cã thÓ ¨n bËy, lµm kh«ng thÓ lµm bËy
fighting	Lóng tóng a
fighting	Kh«ng thÓ l¹i nh¸o
fighting	Kh«ng phôc, ®Õn chiÕn
fighting	HĞ hĞ hĞ
fighting	C¸i g× còng kh«ng biÕt
fighting	¦ ­ ­
fighting	H¶o tiÓu tö
fighting	ThËt lµm ®­îc
fighting	Trang bøc a
fighting	Ng­¬i diÔn kŞch rÊt giái
fighting	Vë kŞch nµy lµ do ta viÕt
fighting	Ng­¬i thİch chø
fighting	Tù t×m kİch thİch
fighting	Kh«ng thÓ v­ît qua råi
fighting	KiÕm tiÒn sèng qua ngµy
fighting	Ng­¬i ®ang nh×n c¸i g×
fighting	TuyÖt kh«ng b«i nhä tiÒn bèi uy danh
fighting	Ng­¬i c¶n ®­îc ta sao
fighting	Hí hí hí
fighting	§õng cã cËy giµ
fighting	§¹o ®øc, ng­¬i kh«ng cã
fighting	HËu sinh kh¶ óy
fighting	ThËt khã nuèt a
fighting	Ng­¬i c¸ch xa h¾n v¹n dÆm
fighting	Ng­êi kh«ng v× m×nh, trêi tru ®Êt diÖt
fighting	§¸ng tiÕc thËt
fighting	TriÖt ®Ó kÕt thóc
fighting	Cã chót c¶m ngé
fighting	TiÕc cho mét nh©n tµi
fighting	Ngµy nµy n¨m sau lµ ngµy giç cña ng­¬i
fighting	Cuång, ta ®Ó cho ng­¬i cuång
fighting	Kh«ng ®µnh lßng nh×n th¼ng
fighting	Kh«ng ®¸ng ®Ó ng­¬i lµm nh­ vËy
fighting	§øng cßn kh«ng v÷ng
fighting	HiÓu bao nhiªu?
fighting	§¸ng ®Ó ®¸nh ®æi sao
fighting	§¸ng a!
fighting	§¾ng a!
fighting	Mét khèi tíi
fighting	§¸nh cho ng­¬i tµn phÕ
fighting	Ng­¬i lµ ngu xuÈn
fighting	TÊt c¶ lµ t¹i ng­¬i
fighting	Ta cã lçi víi liÖt tæ, liÖt t«ng
fighting	Mäi ng­êi, vÜnh biÖt
fighting	Mäi ng­êi, ta ®i tr­íc 1 b­íc
fighting	KiÕp sau gÆp l¹i
fighting	NghiÖp ch­íng, nghiÖp ch­íng!
fighting	Ta giµ råi sao
fighting	ThËt ®¸ng nghi ngê
fighting	§õng lõa dèi n÷a
fighting	TiÓu l­u manh
fighting	Cã ı tø
fighting	Ng­¬i tét cïng ®ang lµm g×
fighting	Thêi gian ®óng lµ kh«ng tha mét ai
fighting	Hi väng a!
fighting	Hång nhan häa thñy
fighting	Hång nhan b¹c phËn
fighting	Ta thËt hèi hËn
fighting	Ta kh«ng hèi hËn
fighting	Ta kh«ng thÓ chÕt
fighting	ChÕt kh«ng ph¶i lµ hÕt
fighting	ChÕt còng kh«ng hÕt téi cña ng­¬i
fighting	ViÖc ¸c ng­¬i lµm... thiÕu sao
fighting	äc äc äc
fighting	õm höm
fighting	GiÊu ®Çu lßi ®u«i
fighting	Ng­¬i ®· bŞ ph¸t hiÖn
fighting	HiÖn nguyªn h×nh ®i
fighting	Ch¼ng bao giê thÊy lµm viÖc tö tÕ
fighting	§¹i t¹o hãa a
fighting	§å thÊt nh©n ¸c ®øc
fighting	MiÖng ng­¬i thËt thèi
fighting	NhÊt kiÕm ®Şnh sinh tö
fighting	Ca nµy ta kh«ng cøu næi
fighting	Chèng ®ì!
fighting	ThËt bÖnh ho¹n
fighting	Bít gµo thĞt ®i
fighting	Kh«ng cã ®­êng lui
fighting	HoÆc lµ thµnh, hoÆc lµ b¹i
fighting	¸ch... ¸ch... ¸ch
fighting	Ng­¬i d¸m tiÕn tíi?
fighting	Ng­îc l¹i ta muèn thö xem
fighting	Ng­îc l¹i ng­¬i thö xem
fighting	Kh«ng cßn g× ®Ó nãi
fighting	Kh«ng ®¸ng ®Ó nãi
fighting	Vi s­ kh«ng cã ®å ®Ö nh­ ng­¬i
fighting	§õng mµ
fighting	Kh«ng thÓ tin ®­îc
fighting	N­íc cê nµy, ta cã thÓ ®i l¹i kh«ng
fighting	N­íc cê nµy kh«ng thÓ ®i l¹i
fighting	Ng­¬i kh«ng cã sù lùa chän
fighting	B¶n l·nh thËt lín
fighting	C¸ch tèt nhÊt lµ giÕt ng­¬i
fighting	ThÕ nµo l¹i nh­ thÕ
fighting	Ng­¬i lµ c¸i biÕn sè, cÇn diÖt
fighting	§õng ®Ó ta thÊt väng
fighting	Ph¶i nh­ thÕ chø
fighting	Tíi phiªn ta
fighting	Qu¸ ®ñ råi
fighting	Ta th¸ch ng­¬i
fighting	§õng th¸ch thøc ta
fighting	N¨m nµo nhÊt ®Şnh chĞm ng­¬i
fighting	Sù chŞu ®ùng cña ta lµ cã h¹n
fighting	§au tim qu¸
fighting	NĞ ®­îc chiªu råi
fighting	TÊt c¶ ®· lµ qu¸ khø
fighting	Ng­¬i cßn d¸m giÊu diÕm sao
fighting	Ph¸t háa råi µ
fighting	T¹ch cmnr
fighting	N¨ng lùc cña ng­¬i chØ thÕ sao?
fighting	Cßn kh«ng ch¹y?
fighting	C¸ch ng­¬i lµm lµ sai
fighting	Ng­¬i chØ lµ chã s¨n
fighting	ThËt kh«ng dÔ chŞu
fighting	H¬n ph©n n÷a lµ chÕt
fighting	§au qu¸ ®au
fighting	Lùc bÊt tßng t©m a
fighting	Cã thÓ
fighting	T­ thÕ thËt ®Ñp
fighting	H¶o chiªu
fighting	Th­êng th«i... th­êng th«i
fighting	Nãi nh­ thÕ nµo ®©y
fighting	Cø vËy mµ ph¸t huy
fighting	Chãng mÆt qu¸
fighting	B©y giê míi biÕt sî sao?
fighting	Ta kh«ng cam lßng
fighting	H÷u t©m v« lùc
fighting	LiÒu chÕt ®¸nh cuéc 1 lÇn
fighting	Nh­ thÕ nµo nh­ thÕ
fighting	LiÒn nh­ vËy
fighting	ThËt nghŞch thiªn
fighting	Thêi ®¹i nµy thËt hçn lo¹n
fighting	V« ph¸p nghŞch chuyÓn
fighting	¢n t×nh nµy, kiÕp sau tr¶
fighting	C¸i gi¸ ph¶i tr¶ lµ qu¸ ®¾t
fighting	Ng­¬i kh«ng lµm ®­îc
fighting	Cã chót kh«ng chŞu ®­îc
fighting	Nãng hÕt c¶ mÆt
fighting	Quû dŞ thËt!
fighting	Ng­¬i sÏ kh«ng thÊy ngµy mai
fighting	Ng­¬i ®ang lµm c¸i g×?
fighting	Mïi m¸u thËt tanh
fighting	Ta thİch m¸u
fighting	Hçn lo¹n kh«ng chŞu næi
fighting	Mïi m¸u nãng qu¸
fighting	§å m¸u l¹nh
fighting	Th× ra chİnh lµ ng­¬i
fighting	V× ng­¬i mµ ta mÊt tÊt c¶
fighting	SÆc
fighting	Ta míi chØ dïng 1 thµnh c«ng lùc
fighting	Hoµi nghi nh©n sinh a
fighting	GiÕt ng­¬i, chØ cÇn 1 ngãn tay
fighting	Kh«ng ®óng
fighting	Ng­¬i tõng nghÜ ®Õn ngµy nµy?
fighting	Kh«ng sím th× muén còng kÕt thóc
fighting	Ngµy nµy cuåi cïng còng ®Õn
fighting	Ta khinh th­êng ng­¬i
fighting	Kh«ng nh­ trong t­ëng t­îng
fighting	Kh«ng ®¸ng chó ı
fighting	Ng­¬i d¸m lµm ng­êi Êy buån
fighting	1 m×nh ta lµ ®ñ
fighting	Kinh nghiÖm chiÕn ®Êu thËt phong phó
fighting	V« cïng yÕu ®uèi
fighting	Ng­¬i ®¸ng lµ ®èi thñ cña ta
fighting	L­êi nh¸t nãi nh¶m
fighting	§· nh­ vËy, kh«ng cÇn ph¶i giÊu n÷a
fighting	NghiÒn Ğp a
fighting	Thùc lùc cña ng­¬i
fighting	Lµm g× mµ dÔ ¨n nh­ vËy...
fighting	Lµm sao?
fighting	Ng­¬i thËt khã nhai
fighting	Qu¸ khen... qu¸ khen
fighting	Ta kh«ng tin
fighting	Ta kh«ng ph¶i lµ ®èi thñ cña ng­¬i
fighting	Tin hay kh«ng
fighting	§· kh«ng ph¶i lµ viÖc träng yÕu
fighting	Hé gi¸, hé gi¸
fighting	T¹i sao c¸c ng­¬i l¹i ®øng nh×n
fighting	Cã chuyÖn g× ®ã kh«ng ®óng
fighting	Gi¸c ngé ch­a?
fighting	Ng­¬i g¸nh kh«ng næi
fighting	Muèn thö mét lÇn
fighting	Ng­¬i kh«ng cßn c¬ héi
fighting	ThËt c¶m ®éng
fighting	§Şnh sè råi
fighting	Ng­¬i ®· bá qua thêi c¬
fighting	Khİ thÕ thËt bµng b¹c
fighting	ThËt v« song
fighting	Ta cßn l¹ g× ng­¬i
fighting	Thõa n­íc ®ôc th¶ c©u
fighting	Ta cã thÓ nãi mét c©u ®­îc kh«ng?
fighting	Quú xuèng!
fighting	Ph¶n nghŞch!
fighting	Ph¶n tÆc!
fighting	ThËt lµ ng«ng cuång
fighting	§å ng¹o m¹n
fighting	VËy th× chÕt ®i
fighting	Tu vi l¹i kh«ng thÊp
fighting	Ng­êi so víi ng­êi, tøc chÕt ng­êi a
fighting	ThÕ cê ®· ®Şnh, kh«ng thÓ thay ®æi
fighting	Cø cho lµ nh­ thÕ
fighting	Ng­¬i c¸i tiÖn nh©n
fighting	KÕt thóc råi!
fighting	Xong!
fighting	V« ¬n, béi nghÜa
fighting	Tr¸nh xa ta ra
fighting	Bá tay ra
fighting	Ng­¬i ®ang hï däa ta sao
fighting	ThÇn c¶n giÕt thÇn
fighting	PhËt c¶n giÕt phËt
fighting	Kh«ng cã c¸i g× gäi lµ c«ng b»ng
fighting	Nh©n thÇn céng phÉn v× ng­¬i
fighting	V« dông th«i
fighting	Bän chuét nh¾t
fighting	§å thá ®Õ
fighting	Kh«ng lÏ ta sÏ chÕt t¹i ®©y sao
fighting	Kh«ng may, ng­¬i ®ông ph¶i ta
fighting	§¸ ph¶i tÊm s¾t råi
fighting	T­ëng dÔ ¨n µ
fighting	ThÊy chuyÖn bÊt b×nh, ra tay t­¬ng trî
fighting	Ng­êi tèt kh«ng lµm nh­ vËy
fighting	M¹nh, thËt m¹nh a!
fighting	Ng­¬i kh«ng cã l­¬ng t©m
fighting	L­¬ng t©m ng­¬i bŞ cÈu tha sao?
fighting	TiÒn lµ tÊt c¶
fighting	Ta hèi hËn råi
fighting	§¸nh b¹i ng­¬i
fighting	Ta c­îc lµ ng­¬i thua
fighting	Yªn chİ an nghØ ®i ha
fighting	Ng­¬i cßn d¸m ®Õn gÆp ta sao?
fighting	Sao l¹i kh«ng d¸m
fighting	Ng­¬i qu¶n kh«ng ®­îc ta
fighting	Kh«ng thÓ tha thø ®­îc
fighting	Kh«ng thÓ thÕ ®­îc
fighting	Tøc chÕt ta
fighting	Xin h·y bu«ng tha ta
fighting	CÇu xin ng­¬i
fighting	H·y ®Ó ta yªn
general	Chµ, ®«ng qu¸ nhØ!
general	ThÌm ¨n kÑo hå l« qu¸ :L
general	§õng chäc tao
general	Mî nã, hÕt tiÒn råi
general	Hey, cho em İt vµng
general	¦íc g× m×nh cã con ChiÕu D¹
general	£ mµi, g¸i k×a
general	Tui ®Ñp qu¸ mµ
general	Chót xİu ®i s¨n boss HK ko?
general	N­íc s«i! N­íc s«i
general	§Ñp trai cã g× sai
general	¦íc g× m×nh cã bå nhØ
general	Th»ng An thiÕu tiÒn ch­a tr¶
general	Kú nµy kĞo héi ®¸nh nã míi ®­îc
general	Th»ng kia cã tiÒn ®Êy
general	Trèn ®»ng nµo víi «ng
general	H«m nay trêi m¸t nhØ
general	Qu¸n ch¸o lßng ngon qu¸ :)
general	Th»ng nµo ®¸nh lĞn tao :@
general	ks = ds
general	Dang ra! Dang ra!
general	Kh«ng biÕt quan binh ë ®©u
general	C« n­¬ng kia xinh thËt
general	ña g× d¹
general	Hñ tiÕu ngon nhØ
general	T­¬ng D­¬ng nµy cã g× vui?
general	§õng ®Ó tao gÆp :@
general	T«i bŞ mãc tói råi :L
general	HÕt tiÒn råi sao giê?
general	§­êng xa mÖt qu¸
general	TiÖm vò khİ ë ®©u nhØ ?
general	Lµm sao luyÖn skill ta?
general	Nghe nãi D­¬ng Ch©u ®ang m­a
general	M×nh bŞ bÖnh råi
general	Thµnh §« L©m An §¹i Lı ta t×m nµng
general	T×m em gi÷a D­¬ng Ch©u chiÒu m­a
general	§i ®u ®­a ®i
general	Con Siªu Quang kia ®Ñp qu¸
general	Bé HKMP kia vip nhØ
general	Ğp 6 dßng mµ xŞt hoµi :L
general	§¸nh hoµi kh«ng th¾ng næi
general	Mua vâ l©m mËt tŞch ®©y!!!!
general	Ai b¸n bk NMC ko?
general	B¸n Thñy Tinh ®©y!!!
general	ThÌm n­íc mİa qu¸!!!
general	Nguy hiÓm! Ch¹y lÑ!
general	T«i kh«ng thÓ h¸t live!
general	Buån lµm chi em ¬i !
general	Ai ve chai dĞp ®øt thao nh«m b¸n h«n ?
general	Xin ®õng h«n t«i
general	Tao ghim nã n·y giê
general	Hay lµ m×nh giËt tiÒn nã nhØ
general	Mïa ®µo n¨m nay ®Ñp thËt
general	L¹i hÕt tiÒn råi
general	Nha m«n th¸ng nµy ch­a ph¸t l­¬ng
general	Qu¸n trµ ¤ Long thËt nh¹t nhÏo
general	§­êng h«m nay v¾ng c¸c c« n­¬ng nhØ
general	Nghe nãi LiÔu Thanh Thanh ®ang ë gÇn ®©y
general	H×nh nh­ HuyÒn Gi¸c §¹i S­ míi võa ®i qua
general	Cã nªn c­íp nha m«n kh«ng nhØ ?
general	T×nh h×nh Tèng Kim cã vÎ c¨ng ®©y
general	Giang hå ®ån r»ng cã kÎ thµnh lËp ¸c Nh©n Cèc
general	ThÌm b¸nh bao qu¸
general	§au bông qu¸
general	§µo cña nhá kia bù ghª mµi
general	C« n­¬ng µ, cho sê c¸i Êy ®­îc khum?
general	M×nh thiÖt lµ biÕn th¸i mµ, hİ hİ hİ
general	¡n dĞp kh«ng?
general	§å khã ­a
general	TiÓu nhŞ, tİnh tiÒn!
general	§Ëu xanh rau muèng nã
general	Yªu em lµ anh sai
general	MÑ ¬i, con muèn lÊy nhá kia
general	D¹o nµy nghÌo qu¸
general	Con g¸i s¸ng n¾ng, chiÒu m­a
general	T×nh lµ bôi, phñi lµ bay
general	D©n ch¬i th× sî mÌo g× m­a r¬i
general	Yªu véi lµ ngu vl
general	M¸ dÆn cßn nhá kh«ng cho yªu
general	Bít cµ khŞa ®i nha
general	Nhan s¾c cã h¹n, thñ ®o¹n th× cã thõa
general	TiÒn kh«ng ph¶i lµ tÊt c¶ nha
general	Sai th× söa, mµ chöa th× ®Î...
general	Muèn thµnh cao thñ, nhÊt ®Şnh ph¶i cµy ®ªm
general	Mua kİch HSL >5% ®©yyyy
general	Ai b¸n phi phong pmmmmm
general	ChiÒu ®i c©u c¸ kh«ng mµi
general	TuyÓn ng­êi vµo bang
general	Cßn tiÒn kh«ng? Cho tau vay İt ®i
general	Tèi nay nhËu nha!
general	§au bao tö qu¸, lµm sao giê
general	§«i khi muèn giÕt th»ng ®Ñp trai nhÊt thÕ giíi
general	M¾c ãi ghª!
general	B¸nh bao ®i c« b¸c ¬i
general	Hihihi!
general	Tao cßn cã 5Kv µ
general	Míi bŞ bå t¸t vµo mÆt, huhuhu
general	Tui khæ qu¸ mµ
general	§ang thÊt t×nh
general	Tèi nay ¨n c¬m víi c¸
general	Tèi nay ¨n c¬m víi trøng
general	Lµm 1 xŞ kh«ng mµi
general	HÕ l«!
general	H¸t mét bµi nghe ch¬i ®i!
general	ó lµ la
general	Nghe nãi T­¬ng D­¬ng cã héi chî
general	TiÒn ®©u mµ n¹p ®©y
general	Trêi l¹nh qu¸
general	B©y giê ph¶i lµm sao, haizz
general	Haizzzz!!!
general	Tau ®i b¸o quan
general	§ãi bông ghª
general	Tr¸nh ra, ng­êi yªu kiu tau vÒ gÊp
general	Lµm nh¸y ®i mµ
general	Kh«ng sî chã
general	Loa loa loa, mÊt hÕt c¸i loa
general	M¸u cña tau İt qu¸, sèc dame
general	Ngon th× ra Nam BiÖn Kinh móc nhau nÌ
general	Mua nhÉn hÖ méc kh¸ng cao, ai cã pm
general	C« ®¬n qu¸
general	C«n L«n cã g¸i ®Ñp!
general	Pty em víiiiii
general	§au bông qu¸
general	§­êng nµo ®i L©m Du Quan vËy?
general	Tau ®i s¨n boss s¸t thñ råi
general	B¸n d©y chuyÒn KTC 18, ai quan t©m pm
general	B¸n giµy tèc ®é 40 - hÖ thæ, 1k2v!!!
general	Mua bİ kİp C¸i Bang Rång, ai cã hó em c¸iiii
general	Mua ¤ V©n §¹p TuyÕt!
general	Mua §­êng NghÖ Gi¸p ngon, hÖ Thæ
general	Mua bao tay nam hÖ Háa, PTVL > 15%
general	Hång nhan häa thñy
general	Nî nÇng chång chÊt, huhuhu
general	Tèng Kim k×a!
general	Mua tiÒn vµng SLL, ai b¸n hó em
general	T×nh yªu kh«ng cã lçi, lçi do tau xÊu
general	D· TÈu kh¾m vl
general	VÒ Thµnh §« T©y giao dŞch!
general	B¸c sÜ b¶o c­íi
general	Lªn M¹c Cao QuËt train ®i
general	Sa M¹c 3 ®ång ng­êi qu¸, ®æi chç kh¸c
general	Con TVB kia nã qu¸nh em
general	§óng råi
general	Tèi ®i ¨n èc kh«ng?
general	Tau hÕt tiÒn råi
general	Lµ l¸ la
general	§å con ng­êi ¸c ®éc
general	§å m¸u l¹nh
general	Tau ®i b¸o quan
general	HÕt thæ ®Şa phï råi
general	ChÕt cha, quªn mua Thæ §Şa Phï
general	Anh ¬i, cho em İt tiÒn ®i xa phu víi
general	T×m s­ phô, høa sÏ ngoan
general	T×m ng­êi yªu
general	Chót n÷a b¸o danh bªn Tèng nha
general	Tau ®i bªn Kim
general	Nhí em!
general	Nhí anh!
general	Cuéc ®êi sÏ l¹c tr«i vÒ ®©u?
general	Tr¸nh ®­êng cho quan
general	C­êi xÊu vl
general	Trêi ¬i lµ trêi
general	Xu cµ na råi
general	NghÌo cßn h¬n con mÌo n÷a, hic
general	¦íc g× anh ë ®©y giê nµy
general	§Õn khuya råi vÉn cßn ®Õm sao
general	H«m nay vÒ sím cóng mïng 1
general	Míi bŞ vî chöi
general	BŞ th»ng kia lõa hÕt 1kv
general	Bang tuyÓn mem c«ng thµnh
general	¤ cª con dª
general	MÌ nheo vl
general	Chóc b¹n may m¾n lÇn sau
general	Em muèn c¾t ®«i nçi sÇu
general	Ng­êi Êy yªu t«i chØ v× tiÒn
general	ChØ cã c¸i miÖng lµ giái
general	B¸n ®å D· TÈu, quÑo lùaaaaa
general	Mua vò khİ LSNC gi¸ cao
general	§­êng nµo ®i Kháa Lang §éng?
general	Míi qu¸nh rít bİ kİp NMK nÌ!
general	MÑ c¸i con C«n L«n Bïa
general	Mua bæng BS >30, ai cã pm!
general	Mai l¹i ph¶i ®i lµm, mÖt ghª
general	Nhí bå cò qu¸
general	Råi mµi sÏ gÆp qu¶ b¸o th«i con ¹
general	LiÒu ¨n nhiÒu
general	ChiÒu nay ch¾c lµm con l«
general	TuyÓn Nga Mi VIP ®i v­ît ¶i, team ngon!
general	Cßn 1 slot s¨n boss s¸t thñ
general	Xin 1 slot s¨n boss s¸t thñ
general	Mua ®ao cÊp 10, hÖ kim HNL
general	Mua KNB ®©y
general	VÒ T­¬ng D­¬ng coi mua l©n ®i
general	Tau ®ang qua Tr­êng B¹ch l­îm ve chai
general	Míi n»m m¬ thÊy rít ®­îc c¸i nhÉn V« Danh
general	Trêi l¹nh ghª!
general	Mai ch¾c nghØ ë nhµ
general	S¾p bÖnh råi
general	Th«i ®i vÒ ngñ
general	Ta l¹c tr«i gi÷a trêi
general	§«ng sang anh nhí em
general	Kh«ng say kh«ng d×a
general	Say ®Õn ®iªn d¹i, say hÕt kiÕp ng­êi
general	Th¸ng n¨m th¨ng trÇm, dßng ®êi ng¶ nghiªng
general	M×nh ch¼ng cïng víi nhau, ®i hÕt qu·ng ®­êng
general	Ngµy x­a t«i còng yªu ng­êi t«i yªu ®Ñp xinh
general	T¹i sao giê chóng ta l¹i l×a ®«i
general	Lµ do ai v« t©m?
general	§· rÊt l©u kh«ng cã ai bªn c¹nh
general	Muèn ®­îc ai ®ã «m
general	Ngµy x­a Êy ®«i ta bªn nhau kh«ng rêi
general	Ta muèn lµm Vâ L©m Minh Chñ
general	§õng khãc, ®õng buån nha em
general	Tµn ®ªm nay lµ m×nh chia tay
general	T×nh ®«i ta h«m nao, bao thiÕt tha mÆn nång
general	Ch­a yªu lÇn nµo biÕt ra lµm sao
general	Lì yªu ng­êi ta gieo tr¸i ngang
general	Bao n¨m qua råi cßn gèi chiÕc
general	Em sÏ lµ ng­êi ra ®i
general	H«m nay cã m­a, m­a r¬i rÊt nhiÒu
general	Mong ¸nh sao trêi kia ngõng m·i n¬i ®©y
general	Cho xin 2 v¹n anh ¬i
general	Míi bŞ trém ghĞ nhµ
general	Míi bŞ ba qu¸nh
general	Gia tr­ëng míi lo ®­îc cho em
general	Kh¸t n­íc ghª
general	Cã c«ng mµi s¾t cã ngµy nªn kim
general	§­êng m«n qu¸nh kinh vl
general	L­¬ng t©m c¾n røt qu¸
general	CÇn vay tiÒn
general	Em nghÌo qu¸, huhu
general	huhuhu
general	Kh«ng thÓ chÊp nhËn sù thËt nµy
general	ThÊy tËn m¾t, b¾t tËn tay
general	hahaha
general	CÇn t×m ®Ö tö
general	Nghe nãi muån lËp bang ph¶i cã Nh¹c V­¬ng KiÕm
general	35 tuæi mµ cßn Õ nÌ
general	Buån lµm chi lÖ hoen bê mi
general	TiÒn l­¬ng kh«ng ®ñ tr¶ tiÒn nhµ. hic
general	Xin lçi. Con bÊt hiÕu
general	Coi chõng bŞ c¾n lĞn
general	QuÇn Èu míi lµ v­¬ng ®¹o
general	So¸i hay kh«ng so¸i?
general	§õng solo gièng nh­ Vâ Dang KiÕm, nÕu kh«ng tù tin
general	Coi chõng bŞ hÊp
general	C« ®¬n gi÷a chèn ao hå
general	MĞo hiÓu g× c¶
general	LuyÖn skill l©u v·i lä
general	CÇn mua Tiªn Th¶o Lé
general	CÇn b¸n QuÕ Hoa Töu
general	B¸n Lôc Thñy Tinh ®©y
general	B¸n 5 Tinh Hå B¶o Th¹ch, xin c¸i gi¸
general	500 anh em ®Õn D­¬ng Ch©u xem ®¸nh nhau nÌ
general	Shop ®å max Kh¸ng më t¹i HiÖu Thuèc Thµnh §«
general	H«m nay ®Ñp trêi, thİch hîp ®Ó nãi chia tay
general	Ai b¸n phóc Duyªn kh«ng?
general	Ğp c©y vò khİ bŞ xŞt mÊt tiªu
general	Nh×n mÆt ta thÊy cã tiÒn h¶?
general	HÑn gÆp l¹i
general	Ch¹y lÑ
general	TrÔ giê råi
general	§ang c¶m thÊy kh«ng ®­îc kháe
general	Cã c¸i mïi g× ®ã lµ l¹, ngé ngé
general	H¾c x× h¬i
general	TiÒn ®©u mµ mua g¹o ®©y
general	ån µo qu¸
general	Oan uèng qu¸, bao §¹i Nh©n
general	Cãc ghÎ mµ ®ßi ¨n thŞt thiªn nga
general	30 n¨m hµ ®«ng, 30 n¨m hµ t©y
general	Ng­êi ta sinh ra ë v¹ch ®İch
general	§­êng vµo tim sao b¨ng gi¸
general	Xin ®õng yªu t«i
general	Cã chuyÖn g× th× tõ tõ nãi, b×nh tÜnh
general	Yªu hay kh«ng yªu?
general	Hay lµ m×nh cø bÊt chÊp yªu nhau ®i
general	B¾t con kiÕn bá trong quÇn
general	TiÓu ®Ö ®Ö cña ta thËt hïng tr¸ng a
general	§o xem cña ai to h¬n kh«ng
general	M×nh thËt ngèc nghÕch
general	Sau c¬n m­a lµ cÇu vßng
general	Sù thËt mÊt lßng th«i
general	Ng­êi yªu míi c¾m sõng tao
general	Th«i ®õng buån n÷a mµ
general	Buån lµm chi em ¬i
general	Giê tİ canh ba, cÇn thËn cñi löa
general	§óng lµ tiÒn nµo cña ®ã mµ
general	¡n ph¶i ®å ¨n cò... bŞ tróng thùc
general	Nghe nãi, cã thÇn thiÕt sÏ ®óc ®­îc thÇn binh
general	Ta ®Õn tõ ThÇn Binh S¬n Trang
general	N¬i ®©y thËt ®Ñp
general	Yªn b×nh qu¸
general	ThËt lµ an nhiªn
general	C¶m thÊy dÔ chŞu
general	Tíi giê ®ãn con råi
general	BiÖn kinh cã biÕn
general	Thµnh §« thËt giµu cã
general	Ai mµ ch¼ng muèn cuéc sèng giµu sang
general	Mét ngµy lµ huynh ®Ö, mét ®êi lµ huynh ®Ö
general	T¹m biÖt, ta sÏ bÕ quan 10 n¨m
general	Ng­êi l¹ ¬i, cho t«i m­în bê vai
general	MÖt qu¸ ®ª
general	Cø thÕ mµ triÓn
general	B¸n nghÖ kh«ng b¸n th©n
general	B¸n th©n kh«ng b¸n nghÖ
general	§õng xa em ®ªm nay
