Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ
An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	3	0	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim An Bang<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	8	0																						36	80											6	311					34									
Thiªn Hoµng Long Long §µi	0	7	4	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Thiªn Hoµng<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	6	0	30	315	315	31																		36	60											2	316					35									
Thiªn Hoµng Long B¹ch Long Tøc	0	2	18	\spr\item\equip\armor\obj-ma-cloth13-3.spr	22	2	3	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Thiªn Hoµng<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	6	0	30	630	630	31																		36	60											2	316					35									
Thiªn Hoµng Long TrÊn Minh Liªn	0	4	1	\spr\item\equip\nick\obj-neck13.spr	36	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Thiªn Hoµng<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	6	0																						36	60											6	316					35									
Thiªn Hoµng Long Cöu HiÖn ChØ	0	3	0	\Spr\item\equip\ring\obj-ring08.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Thiªn Hoµng<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	6	0																						36	60											6	316					35									
Thiªn Hoµng Long Ngäc Tiªu Diªu	0	6	1	\Spr\item\equip\sash\obj-sash20.spr	33	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Thiªn Hoµng<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	6	0	30	140	140	31																		36	60											2	316					35									
Thiªn Hoµng Long Hoµng Kim L©n	0	8	1	\Spr\item\equip\bangle\obj-bangle20.spr	34	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Thiªn Hoµng<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	6	0	30	111	111	31																		36	60											2	316					35									
Thiªn Hoµng Long Bµn Long C«i	0	9	1	\Spr\item\equip\waist\obj-waist16.spr	36	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Thiªn Hoµng<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	6	0																						36	60											6	316					35									
Thiªn Hoµng Long Long Khèc Thiªn Lý	0	5	1	\Spr\item\equip\boots\obj-shoes07.spr	26	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Thiªn Hoµng<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	6	0	30	140	140	31																		36	60											2	316					35									
Thiªn Hoµng Long Né Long §ång	0	3	0	\Spr\item\equip\ring\obj-ring09.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Thiªn Hoµng<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	6	0																						36	60											6	316					35									
Kim Phong Thanh D­¬ng Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap13-2.spr	28	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Kim Phong<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	5	0	30	315	315	31																		36	40											2	358	6				36									
Kim Phong Kú L©n HuyÕt	0	2	18	\spr\item\equip\armor\obj-ma-cloth14-1.spr	22	2	3	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Kim Phong<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	5	0	30	630	630	31																		36	40											2	37	6				36									
Kim Phong Tr¹c Liªn Quang	0	4	1	\spr\item\equip\nick\obj-neck19.spr	36	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Kim Phong<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	5	0																						36	30											366	355	368				36									
Kim Phong C«ng CÈn Tam Th¸n	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Kim Phong<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	5	0																						36	40											367	318	368				36									
Kim Phong §o¹t Hån Ngäc §¸i	0	6	1	\spr\item\equip\sash\obj-sash09.spr	33	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Kim Phong<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	5	0	30	140	140	31																		36	50											314	365	363				36									
Kim Phong HËu NghÖ DÉn Cung	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Kim Phong<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	5	0	30	111	111	31																		36	50											314	359	363				36									
Kim Phong Lan §×nh Ngäc	0	9	1	\spr\item\equip\waist\obj-waist17.spr	36	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Kim Phong<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	5	0																						36	40											367	361	368				36									
Kim Phong Thiªn Lý Th¶o Th­îng Phi	0	5	1	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Kim Phong<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	5	0	30	140	140	31																		36	30											2	360	364				36									
Kim Phong §ång T­íc Xu©n Th©m	0	3	0	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Kim Phong<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	5	0																						36	60											367	356	368				36									
HiÖp Cèt ThiÕt HuyÕt Sam	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim HiÖp Cèt<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	5	0	30	360	360	31																		36	40	38	0									2	306					37									
HiÖp Cèt §a T×nh Hoµn	0	4	1	\spr\item\equip\nick\obj-neck14.spr	36	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim HiÖp Cèt<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	5	0																						36	35	38	0									6	26	2				37									
HiÖp Cèt §an T©m Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim HiÖp Cèt<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	5	0																						36	45	38	0									55						37									
HiÖp Cèt T×nh ý KÕt	0	9	1	\spr\item\equip\waist\obj-waist13.spr	36	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim HiÖp Cèt<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	5	0																						36	50	38	0									3	84	366				37									
Nhu T×nh C©n Quèc Nghª Th­êng	0	2	11	\spr\item\equip\armor\obj-fm-cloth14-3.spr	25	2	3	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Nhu T×nh<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	5	0	30	360	360	31																		36	40	38	1									2	91	130				38									
Nhu T×nh Thôc N÷ H¹ng Liªn	0	4	0	\spr\item\equip\nick\obj-neck07.spr	36	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Nhu T×nh<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	5	0																						36	35	38	1									6	34					38									
Nhu T×nh Phông Nghi Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Nhu T×nh<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	5	0																						36	45	38	1									63						38									
Nhu T×nh TuÖ T©m Ngäc Béi	0	9	0	\spr\item\equip\waist\obj-waist16.spr	36	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Nhu T×nh<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	5	0																						36	50	38	1									1	95					38									
Kim Quang TrÝch Tinh Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Kim Quang<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	10	0	30	250	250	31																		36	90											398	378	399	400	401	402	39									
Kim Quang §­êng Nghª Gi¸p	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	22	2	3	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Kim Quang<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0	30	630	630	31																		36	90											403	388	404	405	406		39									
Kim Quang Lôc PhØ Thóy Hé Th©n Phï	0	4	1	\spr\item\equip\nick\obj-neck20.spr	26	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Kim Quang<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0																						36	90											373	374	375	376			39									
Kim Quang B¾c Kinh Chi Méng	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Kim Quang<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	10	0																						36	90											129	130					39									
Kim Quang B¹ch Kim Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Kim Quang<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0	30	140	140	31																		36	90											407	388	399	405	408	413	39									
Kim Quang Thiªn Tµm Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Kim Quang<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	10	0	30	111	111	31																		36	90											409	378	399	400	410		39									
Kim Quang Ngò S¾c Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist15.spr	36	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Kim Quang<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	5	0																						36	90											384	385	386				39									
Kim Quang Thiªn Tµm Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Kim Quang<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0	30	140	140	31																		36	90											411	388	404	405	412		39									
Kim Quang Nh· §iÓn Chi Hån	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Kim Quang<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0																						36	90											129	130					39									
Kim Quang B«n L«i Toµn Long Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Kim Quang<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0	28	18	18	29	158	158	167	30	30	31												36	90	39	1									392	393	394	395	396	397	39									
Hång ¶nh ThÈm Viªn UyÓn	0	4	1	\spr\item\equip\nick\obj-neck09.spr	26	2	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Hång ¶nh<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	1	49999	10	0																						36	0											415	414					40									
Hång ¶nh KiÕm Bµi	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Hång ¶nh<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	2	49999	10	0																						36	0											314	414	6				40									
Hång ¶nh Môc Tóc	0	3	0	\spr\item\equip\ring\obj-ring02.spr	37	1	1	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Hång ¶nh<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	4	49999	10	0																						36	0											314	414	6				40									
Hång ¶nh Tô Chiªu	0	9	1	\spr\item\equip\waist\obj-waist09.spr	36	1	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Hång ¶nh<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	3	49999	10	0																						36	0											314	414	6				40									
TuÖ Thanh	0	3	0	\spr\item\equip\ring\obj-ring04.spr	37	1	1	N/A	2	49999	6	0																						38	1											429	130	430				41									
Duyªn Qu©n	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	N/A	2	49999	9	0																						38	0											429	130	430				41									
[Hoµn Mü] An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	4	0	\Spr\item\equip\nick\obj-neck07.spr	36	2	1	N/A	4	49999	10	0																						36	85											310	433					34									
[Hoµn Mü] An Bang Cóc Hoa Th¹ch ChØ Hoµn	0	3	0	\Spr\item\equip\ring\obj-ring07.spr	37	1	1	N/A	2	49999	8	0																						36	80											6	312	431				34									
[Hoµn Mü] An Bang §iÒn Hoµng Th¹ch Ngäc Béi	0	9	1	\Spr\item\equip\waist\obj-waist18.spr	36	1	2	N/A	1	49999	8	0																						36	75											6	313	432				34									
[Hoµn Mü] An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	3	0	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	N/A	3	49999	8	0																						36	80											6	311	431				34									
Vinh DiÖu Chi Y	0	2	9	\Spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Vinh DiÖu<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	10	0	30	720	720	31																		36	60											434	405	435				42									
Tinh ChuÈn Chi Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	<enter>Trang BÞ<enter><color=yellow>Hoµng Kim Tinh ChuÈn<color><enter><enter><bclr=pink>Vâ L©m Offline<bclr>	0	49999	10	0	30	160	160	31																		36	60											436	400	412				42									
An Bang B¨ng Tinh Th¹ch H¹ng Liªn	0	4	0	\Spr\item\equip\nick\obj-neck07.spr	36	2	1	N/A	4	49999	10	0																						36	85											550						34									
An Bang Cóc hoa Th¹ch chØ hoµn	0	3	0	\Spr\item\equip\ring\obj-ring07.spr	37	1	1	N/A	2	49999	8	0																						36	80											551	552					34									
An Bang §iÒn Hoµng th¹ch ngäc béi	0	9	1	\Spr\item\equip\waist\obj-waist18.spr	36	1	2	N/A	1	49999	8	0																						36	75											551	553					34									
An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	3	0	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	N/A	3	49999	8	0																						36	80											551	554					34									
[§Þnh thêi] Méng Long ChÝnh Hoµng T¨ng M·o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	N/A	1	1000	10	0	30	360	360	31																		36	90	39	0									2	171	323	173	6	155										
[§Þnh thêi] Méng Long Kim Ty ChÝnh Hång Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	N/A	2	1000	10	0	30	720	720	31																		36	99	39	0									409	490	491	492	493	494										
[§Þnh thêi] HuyÒn ThiÕt Ph¸t §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	N/A	0	1000	10	0	30	160	160	31																		36	95	39	0									418	309	172	311	416	417										
[§Þnh thêi] PhËt Ph¸p HuyÒn Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	N/A	4	1000	10	0																						36	80	39	0									129	130														
[§Þnh thêi] Méng Long §¹t Ma T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	N/A	3	1000	10	0	30	160	160	31	80	80																36	85	39	0									2	104	6	311												
[§Þnh thêi] Phôc Ma Tö Kim C«n	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	N/A	0	1000	10	0	28	69	69	29	128	128	167	-10	-10	31												36	99	39	0									445	446	447	448	449	450										
[§Þnh thêi] Phôc Ma HuyÒn Hoµng Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-2.spr	22	2	3	N/A	4	1000	10	0	30	720	720	31																		36	90	39	0									2	306	175	307												
[§Þnh thêi] Phôc Ma ¤ Kim NhuyÔn Thao	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	N/A	3	1000	10	0	30	160	160	31																		36	85	39	0									418	309	177	311	416	417										
[§Þnh thêi] Phôc Ma PhËt T©m NhuyÔn KhÊu	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	N/A	1	1000	10	0																						36	80	39	0									129	130														
[§Þnh thêi] Phôc Ma Phæ §é T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	N/A	2	1000	10	0	30	160	160	31																		36	95	39	0									2	104	323	311	6	325										
[§Þnh thêi] Tø Kh«ng Gi¸ng Ma Giíi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	N/A	0	1000	10	0	28	40	40	29	114	114	167	-20	-20	31												36	99	39	0									451	446	452	448	449	450										
[§Þnh thêi] Tø Kh«ng Tö Kim Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-1.spr	22	2	3	N/A	4	1000	10	0	30	720	720	31																		36	90	39	0									2	306	178	317												
[§Þnh thêi] Tø Kh«ng Hé Ph¸p Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	N/A	3	1000	10	0	30	160	160	31																		36	85	39	0									2	309	177	311	416	425										
[§Þnh thêi] Tø Kh«ng NhuyÔn B× Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	N/A	1	1000	10	0	30	135	135	31																		36	95	39	0									2	326	323	311	6	179										
[§Þnh thêi] Tø Kh«ng Giíi LuËt Ph¸p Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	N/A	2	1000	10	0																						36	80	39	0									129	130														
[§Þnh thêi] H·m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	N/A	2	1000	10	0	28	55	55	29	165	165	167	-30	-30	31												36	99	39	1									453	454	455	456	457	458										
[§Þnh thêi] H·m Thiªn Vâ ThÇn T­¬ng Kim Gi¸p	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	N/A	0	1000	10	0	30	720	720	31																		36	90	39	1									2	306	180	311												
[§Þnh thêi] H·m Thiªn Uy Vò Thóc Yªu Hoµn	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	N/A	4	1000	10	0	30	160	160	31																		36	95	39	1									2	309	191	311	416	156										
[§Þnh thêi] H·m Thiªn Hæ §Çu KhÈn Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	N/A	3	1000	10	0	30	135	135	31																		36	80	39	1									129	130														
[§Þnh thêi] H·m Thiªn Thõa Long ChiÕn Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	N/A	1	1000	10	0	30	160	160	31																		36	85	39	1									2	104	192	311	319	190										
[§Þnh thêi] Tôc NghiÖp B«n L«i Toµn Long Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	N/A	2	1000	10	0	28	18	18	29	158	158	167	30	30	31												36	99	39	1									459	460	455	456	457	458										
[§Þnh thêi] Tôc NghiÖp HuyÒn Vâ Hoµng Kim Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	N/A	0	1000	10	0	30	720	720	31																		36	95	39	1									2	40	185	79												
[§Þnh thêi] Tôc NghiÖp B¹ch Hæ V« Song KhÊu	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	N/A	4	1000	10	0	30	160	160	31																		36	90	39	1									2	309	188	311	416	156										
[§Þnh thêi] Tôc NghiÖp Háa V©n Kú L©n Thñ	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	N/A	3	1000	10	0	30	135	135	31																		36	80	39	1									129	130														
[§Þnh thêi] Tôc NghiÖp Chu T­íc L¨ng V©n Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	N/A	1	1000	10	0	30	160	160	31																		36	85	39	1									2	104	189	311	319	186										
[§Þnh thêi] Ngù Long L­îng Ng©n B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	N/A	2	1000	10	0	28	40	40	29	114	114	167	-20	-20	31												36	99	39	1									459	447	455	456	457	458										
[§Þnh thêi] Ngù Long ChiÕn ThÇn Qua Trôy	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	N/A	0	1000	10	0																						36	90	39	1									2	317	79	107												
[§Þnh thêi] Ngù Long Long Thiªn M«n Thóc Yªu Hoµn	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	N/A	4	1000	10	0	30	160	160	31																		36	85	39	1									2	309	182	311	416	156										
[§Þnh thêi] Ngù Long TÊn Phong Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	N/A	3	1000	10	0	30	135	135	31																		36	95	39	1									2	327	183	311	319	181										
[§Þnh thêi] Ngù Long TuyÖt MÖnh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	N/A	1	1000	10	0																						36	80	39	1									129	130														
[§Þnh thêi] V« Gian û Thiªn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	N/A	0	1000	10	0	28	46	46	29	86	86	167	0	0	31												36	99	39	4									451	446	445	448	449	461										
[§Þnh thêi] V« Gian Thanh Phong Tri Y	0	2	7	\spr\item\equip\armor\obj-fm-cloth03-2.spr	24	2	3	N/A	4	1000	10	0	30	720	720	31																		36	90	39	4									2	306	193	317												
[§Þnh thêi] V« Gian PhÊt V©n Ty §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	N/A	3	1000	10	0	30	160	160	31																		36	85	39	4									418	309	196	307	6	425										
[§Þnh thêi] V« Gian CÇm VËn Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	N/A	1	1000	10	0	30	135	135	31																		36	95	39	4									2	329	328	88	6	194										
[§Þnh thêi] V« Gian B¹ch Ngäc Ban ChØ	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	N/A	2	1000	10	0																						36	80	39	4									129	130														
[§Þnh thêi] V« Ma Ma Ni Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	N/A	2	1000	10	0	30	315	315	31																		36	85	39	4									2	307	420	309	6	427										
[§Þnh thêi] V« Ma Tö Kh©m Cµ Sa	0	2	7	\spr\item\equip\armor\obj-fm-cloth03-2.spr	22	2	3	N/A	0	1000	10	0	30	630	630	31																		36	90	39	4									2	306	6	317												
[§Þnh thêi] V« Ma B¨ng Tinh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	N/A	4	1000	10	0	31																					36	80	39	4									129	130														
[§Þnh thêi] V« Ma TÈy T­îng Ngäc KhÊu	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	N/A	1	1000	10	0	31																					36	95	39	4									495	464	496	497	498	499										
[§Þnh thêi] V« Ma Hång Tri NhuyÔn Th¸p Hµi	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	N/A	1	1000	10	0	30	140	140	31																		36	99	39	4									2	320	199	88	8	330										
[§Þnh thêi] V« TrÇn Ngäc N÷ Tè T©m Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	N/A	3	1000	10	0	30	315	315	31																		36	90	39	4									418	309	197	312	421	420										
[§Þnh thêi] V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	N/A	1	1000	10	0																						36	99	39	4									409	500	501	502	467	503										
[§Þnh thêi] V« TrÇn Tõ Bi Ngäc Ban ChØ	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	N/A	2	1000	10	0																						36	80	39	4									129	130														
[§Þnh thêi] V« TrÇn PhËt T©m Tõ Hùu Yªu Phèi	0	9	0	\spr\item\equip\waist\obj-waist09.spr	36	1	2	N/A	0	1000	10	0																						36	95	39	4									4	158	6	332												
[§Þnh thêi] V« TrÇn PhËt Quang ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	N/A	1	49999	10	0	31																					36	85	39	4									2	419	6	203	417	115										
