talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
40	LÇn tíi ®¸o chî lı, nhÊt ®Şnh ph¶i nh×n ca kü biÓu diÔn. 	Hùu ®i ngang qua ®Şa ph­¬ng nµy! 	Ngµy nµo ®ã ta cïng víi nh©n huynh luËn bµn mét chót tµi ®¸nh cê ba? 	Pearl ®­a cho ta n­¬ng ®­¬ng thä lÔ thİch hîp nhÊt bÊt qu¸! 	N÷ nh©n chia lµm bèn lo¹i, cao quı chİnh lµ, kh¶ ¸i, hiÒn lµnh, ®oan trang, ng­¬i thİch mét lo¹i kia? 	Ta b×nh sinh kh«ng ­a nhÊt tù cho lµ ®óng tªn.
41	Ta muèn vÒ nhµ trång trät ®i, kh«ng muèn tiÕp qua nh­ vËy phiªu l­u lang thang sinh ho¹t. 	Ngµy h«m qua thÊy mét xÊu n÷, h¹i ta giµu to råi mét ®ªm ¸c méng. 	A, ta thËt vÊt v¶ tån l·o bµ b¶n thiÕu mét v¨n, nĞm ë n¬i nµo? 	ThÓ chÊt suy yÕu cã thÓ dïng d­îc liÖu lai nÊu canh bæ th©n thÓ. 	C©y hoa cóc pha trµ sÏ cã rÊt ®Æc thï h­¬ng vŞ! 	Nghe ®­îc cã ng­êi ca h¸t sao, thËt lµ kú qu¸i a? ThÕ nh­ng mäi n¬i trõ ng­¬i ra ta kh«ng cã ng­êi kh¸c!
42	Ng­¬i dïng tiÒn tiªu tiÒn nh­ n­íc, nh­ng chí ®em ta tiÒn c«ng còng t×m! 	ThuËt l¹i phô cËn ®©y xuÊt hiÖn qua oan quû, chóng ta cßn lµ mau mau ly khai ba. 	Ta ph¸t hiÖn ng­¬i c¸i ng­êi nµy vÉn lµ tèt, tr­íc ®©y chØ lµ chóng ta rÊt İt nãi chuyÖn phiÕm mµ th«i. 	¤ng trêi a, ta thÕ nµo lÇn tr­íc bµi b¹c thua nhiÒu nh­ vËy, l·o bµ b¶n mµ l¹i kh«ng! 	Kh¶ ¸i n÷ nh©n ®¹i thÓ tïy høng. 	Thïy khiÕm ta 50 v¨n tiÔn tíi, thÕ nµo còng kh«ng nghÜ ra.
43	LÇn tíi chóng ta ®¸o tuyÒn ch©u th×, nÕm thö h¶i s¶n ba? Ách... Ng­¬i cßn cã tiÔn sao? 	Lªn trêi qu¸ kh«ng c«ng b×nh, b¶ cã ng­êi sanh ®Ñp nh­ vËy, cã ng­êi l¹i ®Æc biÖt xÊu. 	Hoa mét ®ªm tr¨ng trßn, chóng ta tíi th­ëng thøc tr¨ng s¸ng lµm sao? 	Xem ra ®¹i ca d¹y ph¶i, ta kh«ng nªn t¸i dİnh ®¸nh cuéc. 	T©m ®Şa hiÒn lµnh n÷ nh©n th­êng th­êng khuyÕt thiÕu mŞ lùc. 	§· nhiÒu ngµy, ta muèn söa sang mét chót tr­¬ng môc, bëi v× thiÕu 3 v¨n tiÔn.
44	Ta thİch nhÊt uèng r­îu, ha ha, kh«ng gièng ng­¬i mét h¬i xuèng phİa d­íi tùu gôc xuèng. 	Tõ h«m nay trë ®i ta muèn nhÊt t©m h­íng phËt. 	GÇn ®©y ta t­¬ng ®èi kh«ng may, lu«n lu«n gÆp ph¶i tiÓu th©u! 	Võa ®i qua mét nam tö tùa hå ë trõng chóng ta, cã muèn hay kh«ng söa ch÷a h¾n? 	Cao quı chİnh lµ n÷ nh©n tù cho lµ ®óng. 	Cã chØ nghŞch ngîm hÇu tö ®o¹t ®i råi ngäc béi cña ta, ta muèn cho nã ®iÓm nhan s¾c kh¸n!
45	Kh«ng biÕt uèng r­îu sÏ kh«ng khiÕu nam nh©n. 	Ta thÊy ng­¬i b×nh th­êng quªn ¨n, nh­ vËy ®èi th©n thÓ bÊt h¶o. 	Na nhËt chóng ta lªn trêi v­¬ng ®¶o du l·m mét phen ba? 	Buæi s¸ng kh«ng ph¹n, mãn bao tö vÉn thÇm th× khiÕu! 	§oan trang n÷ nh©n gièng nhau rÊt cò kü. 	C¸i chç nµy phong c¶nh cã chót ch¸n n¶n, thÕ nh­ng cã ®¹i ca ë còng sÏ kh«ng c¶m thÊy phiÒn muén.
46	Ta sÏ thæi ®Şch, ng­¬i tùa hå kh«ng th«ng ©m luËt a! 	MÆc kÖ ng­¬i ¨n kh«ng ¨n c¬m, ta cÇn ph¶i ¨n. 	Thiªn ©m, lËp tøc muèn m­a, chóng ta kho¸i ta hoa ®Şa ph­¬ng t×m n¬i ngñ trä ba. 	HiÖn t¹i ®¸i b¶o tiªu ng­êi cña cµng ngµy cµng nhiÒu, cã lóc cßn cã thÓ thÊy mü n÷ ng­êi b¶o ®¶m phiªu ni! 	Ta nh­ng thËt ra lµ mét rÊt thİch cuéc sèng tù do ng­êi cña. 	§¸o töu l©u lóc ¨n c¬m, chó ı b¶ bao quÇn ¸o cÊt xong, phßng ngõa tiÓu th©u.
47	Ng­¬i c¸i bé d¸ng nµy rÊt khã sÏ cã n÷ nh©n nguyÖn ı ®Ó ı cña ng­¬i! 	Th«n phô cËn gÆp n¹n h¹n h¸n. 	Con ng­êi cña ta tèi kh«ng thİch ng­êi kh¸c ra lÖnh cho ta. 	§¹i nhiÖt thiªn ng©m m×nh ë trong s«ng tho¶i m¸i nhÊt. 	Tuy r»ng theo ®¹i ca còng kh«ng ph¶i ta vÉn h­íng tíi, thÕ nh­ng ta c¶m gi¸c cuéc sèng nh­ thÕ còng kh«ng th¸c. 	Na Thiªn ®¹i ca m· còng cho ta m­în kş h¹, ha ha.
48	Sinh ho¹t thŞ mu«n mµu mu«n vÎ, v× sao ng­¬i lu«n lu«n yÕu ®Ó cho m×nh véi vµng nh­ thÕ? 	Ta trång c©y ®µo, hiÖn t¹i cai tr­êng rÊt cao ba. 	Ta tËn lùc tè tèt nhÊt b¶o tiªu. 	§­êng phÌn tæ yÕn ®«n tuyÕt lª thŞ tr©n quı ®iÒm phÈm, chØ cã phó gia ®×nh tµi n¨ng ¨n khëi. 	Cµnh liÔu héi theo giã mµ ®ong ®­a, tùa nh­ vò n÷ khiªu vò gièng nhau. 	Ta lµ mét ®¸ng th­¬ng nam nh©n a, hiÖn t¹i liªn mét l·o bµ còng kh«ng cã!
49	NÕu nh­ ng­¬i thÊt t×nh, nhÊt ®Şnh ph¶i kiÓm th¶o, gi¸ chØ cã thÓ nãi râ ng­¬i tù th©n cã chuyÖn. 	Ng­êi kh«ng thÓ rÊt cè chÊp, nh­ vËy chØ cã thÓ th­¬ng tæn tíi m×nh. 	TiÕn nhËt c«ng phu cña ng­¬i tiÕn bé kh«ng İt a! 	Rèt côc tr«ng ®­îc trêi thu, th­ thİch nhÊt tiÕt a. 	Bçng nhiªn c¶m gi¸c ®­îc rÊt mÖt nhäc, chóng ta ë phİa tr­íc nghØ t¹m mét håi ba! 	Nga? Ng­¬i ngµy h«m nay thay ®æi th©n quÇn ¸o míi, kh«ng sai!
50	Ai, cïng víi ng­¬i hËu, ta tùu cho tíi b©y giê ch­a ¨n qua thø tèt. 	Hoµng Hµ hùu phiÕm l¹m. 	H«m nay th¸i d­¬ng ch©n chãi m¾t. 	Ngò §éc gi¸o ng­êi cña ch©n kh«ng dÔ chäc, sau ®ã gÆp ph¶i chóng ta nhÊt ®Şnh ph¶i nĞ tr¸nh. 	Kh¸t n­íc, ta ®i chuÈn bŞ n­íc suèi lai h¸t. 	Ta nghÜ ng­¬i ng­êi ®¹i ca nµy rÊt hîp c¸ch, b×nh th­êng ®Ó chiÕu cè ta quªn chuyÖn cña m×nh.

