talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
40	Ta mÊy ngµy nay th©n thÓ phi th­êng khã chŞu, kh«ng ®Ó cho ta ®¶ qu¸i. 	Xem ra ta chØ thİch hîp tè to bæn sèng, thªu hoa vµ v©n v©n ch©n kh«ng thİch hîp ta. 	Cã ®«i khi ta ch©n ph¸t hiÖn m×nh ®Ünh bæn, xem ra mäi viÖc cßn muèn vµ tû tû häc tËp. 	Phİa nam cã mét lo¹i ®µ trµ, ph­¬ng b¾c cã mét lo¹i trµ b¸nh, vŞ ®¹o c¸c kh«ng cã cïng. 	Th­¬ng s¬n, nhŞ h¶i còng lµ lín ®Ó ı næi danh nhÊt phong c¶nh. 	Ta biÓu tû ®· tõng còng lµ nhµ giµu tiÓu th­, thÕ nh­ng nµng l¹i g¶ cho mét th­ sinh nghÌo.
41	HiÖn t¹i vïng Trung Nguyªn vâ l©m c¸c m«n ph¸i ®Òu ë ®©y vi kh¸ng kim tè cèng hiÕn. 	Ta kh«ng cã kháa ch©n bã, cã lÏ sÏ kh«ng ai thÌm lÊy, bÊt qu¸ ta t×nh nguyÖn nh­ vËy còng kh«ng kháa. 	Nh­îng ta häc kü n¨ng th×, nhÊt ®Şnh ph¶i tØ mØ suy nghÜ kü cµng, kh«ng ph¶i t¸i quªn tùu hoa tiÒn tiªu uæng phİ. 	NguyÔn vµ tú bµ thŞ bÊt ®ång nh¹c khİ, ©m s¾c còng bÊt ®ång. 	Ba th¸ng tam thŞ §¹i Lı n¸o nhiÖt nhÊt chî, ®Õn lóc ®ã chóng ta còng ®i xem ba. 	Ai nha, ta nha ®au chÕt lu«n, ph¹n còng ¨n kh«ng tr«i.
42	Muèn nãi cña m«n ph¸i nµo vâ c«ng lîi h¹i, gi¸ thËt ®óng lµ c¸i vÊn ®Ò. 	Ha h¶, ta xuÊt gi¸ y phôc ®· sím lµm xong, sÏ chê ng­êi ®Õn thó ta ni. 	Lóc chiÕn ®Êu nhÊt ®Şnh ph¶i chó ı m¸u cña ta l­îng kh«ng nghÜ qua lµ ta sÏ ngñm. 	Tranh thuû mÆc lµ mét lo¹i c¬ b¶n vÏ mét chót ph­¬ng ph¸p, tû tû biÕt ch­a. 	L÷ hµnh tuy r»ng khæ cùc, thÕ nh­ng cã thÓ cïng tû tû lµm b¹n ta tùu kh«ng c¶m thÊy. 	Nh©n sinh gièng vËy mét håi ®¸nh cuéc, kh«ng cã tuyÖt ®èi th¾ng thua.
43	Ngµy h«m nay cña ng­¬i t¹o h×nh kh«ng ®­îc tèt l¾m. 	Nh©n nh­ng ngh×n v¹n lÇn bÊt n¨ng dİnh vµo ®æ gi¸ ngo¹n nghÖ, cã bao nhiªu gia s¶n ®« héi b¹i quang. 	Ta vµ tû tû dïng gia m¸u thuèc thŞ bÊt ®ång, nhÊt ®Şnh ph¶i nhí kü nga. 	Phi tö c­êi hay c©y v¶i, ha h¶, ta thÊy c©y v¶i còng muèn c­êi, bëi v× nã ¨n qu¸ ngon. 	Chóng ta vµo thµnh hËu ë trong l÷ ®iÕm dïng h­¬ng thang t¾m mét c¸i ba. 	Ch©n giß hun khãi bØ thŞt kh« ¨n ngon, nhÊt lµ dïng nã lai ®«n c¶i tr¾ng.
44	BiÕt ­íc m¬ cña ta lµ c¸i g× kh«ng, quªn ®i, nãi ng­¬i còng kh«ng hiÓu. 	Ta còng kh«ng cã tû tû lín nh­ vËy tr¶ thï, lı t­ëng cña ta chØ lµ tè mét ng­êi ®µn bµ b×nh th­êng. 	Tuy r»ng chóng ta mçi ngµy bÒ bén nhiÒu viÖc thÕ nh­ng còng kh«ng nªn quªn ®óng h¹n ¨n. 	Lªn nói trİch d· qu¶, xuèng s«ng b¾t c¸, ®©y ®Òu lµ ta khi cßn bĞ th­êng th­êng kiÒn chuyÖn t×nh. 	Ta b¶ c¸c lo¹i ®ãa hoa vµ h­¬ng liÖu hçn hîp cïng mét chç l¹i dïng n­íc suèi bµo chÕ, lµ ®­îc n­íc hoa. 	Tr­íc ®©y ta ë kinh thµnh gÆp qua voi, nÕu nh­ ta n¨ng kş nã chung quanh ngao du th× tèt råi.
45	§· tõng ¨n xong mét håi bß T©y T¹ng thŞt, gi¶o ®Òu kh«ng c¾n næi. 	N¨m ngo¸i ta thiÕu chót n÷a tùu ra g¶ cho, thÕ nh­ng, ng­êi nam nh©n kia sau l¹i ch¹y. 	Kú thùc vèn cã ta kh¶ dÜ tè mét b¶n phËn n÷ hµi gia, ®¹i m«n kh«ng ra cæng trong kh«ng m¹i, thÕ nh­ng ta lùa chän con ®­êng nµy. 	"Dïng c¸i g× dån khÕ réng r·i, nhiÔu c¸nh tay song nh¶y tho¸t. C©u nµy th¬ nãi ph¶i chóng ta ®eo c¸nh tay hoµn."	X¹ lµ mét lo¹i cïng lo¹i con ho½ng ®éng vËt, c«ng trªn bông cña n¨ng t¶n m¸t ra rÊt dÔ chŞu vŞ ®¹o, hay x¹ h­¬ng. 	Kh«ng biÕt chóng ta ®· ®i råi nhiÒu İt lı ®Şa?
46	Ta kh«ng thİch m·, bëi v× chóng nã trªn ng­êi cã bä chã. 	Nãi lªn n¨m ngo¸i kh«ng cã gi¸ ®i ra ngoµi mét chuyÖn, ta ®Õn nay hoµn canh c¸nh trong lßng. 	NÕu cã mét ngµy ®ªm n¨ng cã mét rÊt lín cöa hµng bªn trong c¸i g× còng cã b¸n, ¨n, mÆc, ë, ®i l¹i toµn bé cã, thËt lµ tèt biÕt bao. 	Ng­¬i cã ph¸t hiÖn hay kh«ng n¨m nay c¸c nam nh©n ®Òu ¸i mÆc mµu xanh biÕc y phôc? 	Muèn lÊy x¹ h­¬ng tr­íc hÕt tµn nhÉn s¸t h¹i nã, thËt ®¸ng th­¬ng a. 	Th¸i d­¬ng h¸ s¬n th×, chóng ta kh¶ dÜ ®øng ë ®Ønh nói nh×n mét chót.
47	§­¬ng giã thæi qua cá lau thêi gian, tæng nh­îng ta nghÜ khëi chuyÖn cò. 	Hång qu¶ l¹i b¶o s¬n tra, nÕu nh­ dïng ®­êng phÌn lai ngao héi phi th­êng ngon miÖng. 	Tang c©y mïa hÌ héi kÕt tang nhÉm, rÊt ngät ¨n thËt ngon. 	Ta thİch nhÊt soi g­¬ng, thÕ nh­ng c¸i g­¬ng kh«ng cã trong n­íc ¶nh ng­îc râ rµng. 	Ai nha, cã chØ muçi ë gi¶o tû tû ni, ®¸nh chÕt nã! 	? phèi hîp y phôc th×, nÕu nh­ ®èi nhan s¾c phèi hîp mét n¾m chÆt, tùu tuyÓn tr¹ch xÊp xØ nhan s¾c lai mÆc, cã lÏ hîp víi b¹ch s¾c.
48	Lóc nµo tµi n¨ng thÊy thêi ®¹i hßa b×nh ®Õn! 	Ta muèn nh­îng häa sØ cho ta bøc tranh hĞ ra ch©n dung, l­u lµm kû niÖm. 	LÔ mõng n¨m míi vÒ nhµ th×, ta cÊp chŞ d©u ta ®¸i ta t¸o ®á, nµng lËp tøc yÕu sinh tiÓu b¶o b¶o. 	Ta lóc ¨n c¬m hËu thİch phãng mét ®iÓm c©y ít t­¬ng, ¨n uèng sÏ ®Æc biÖt h¶o. 	Th»n l»n, bé d¸ng cña nã ch©n xÊu, ®õng lµm cho ta l¹i nh×n thÊy nã. 	Cã ®«i khi dïng mµu s¾c t­¬ng ph¶n lai phèi hîp y phôc còng cã dŞ kh«ng nghÜ tíi hiÖu qu¶.
49	Sanh ë lo¹i nµy lo¹n thÕ thùc sù lµ bi ai a! 	Buæi tèi kh«ng cÇm quyÒn lé ra ngoµi doanh nhÊt ®Şnh ph¶i nhãm löa, ngän nói rÊt l¹nh. 	Xuèng m­a, kh«ng khİ lu«n lu«n rÊt míi mÎ a. 	Ta nghÌo nhÊt thêi gian ¨n hai th¸ng b¸nh m× lo¹i lín, ai, chØ v× ®a m·i hai kiÖn quÇn ¸o xinh ®Ñp. 	NÕu nh­ tû tû thùc sù thİch kş m·, ta còng chÊp nhËn cïng nhau kş ba. 	Ho¸ trang cã thÓ ®Ó cho n÷ nh©n thay ®æi nh©n, mü lÖ, tû tû còng kh«ng nªn bá qua a!
50	C¸ch mçi mét canh giê ta ®Òu ph¶i nghØ ng¬i mét chót. 	ThËt l©u kh«ng cã ngöi qua mïi hoa, thùc sù lµ tho¶i m¸i a, tinh thÇn ®Òu bu«ng láng. 	Mïa xu©n tiªn më hoa thŞ hoa ®ãn xu©n hoa, mïa hÌ xinh ®Ñp nhÊt thŞ hoa sen. 	Chît nhí tíi ta biÓu ca, h¾n am hiÓu nhÊt thæi ®Şch, thÕ nh­ng h¾n kh«ng cã tiÒn ®Õn tr­êng, ë l·o gia lµm ruéng ni. 	ThËt lµ lín mét ph©n ngùa vŞ a, chóng ta m· cai t¾m nga! 	Tin t­ëng chóng ta thêi gian tíi ®« héi rÊt h¹nh phóc.
