Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ
[§Þnh thêi] Tôc NghiÖp Chu T­íc L¨ng V©n Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ Hoµng Kim	1	1000	10	0	30	160	160	31	80	80																36	85	32	135	39	1							2	104	189	311	319	186										
[§Þnh thêi] Ngù Long L­îng Ng©n B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bÞ Hoµng Kim	2	1000	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	1							459	447	455	456	457	458										
[§Þnh thêi] Ngù Long ChiÕn ThÇn Qua Trôy	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	0	1000	10	0																						36	90	39	1									2	317	79	107												
[§Þnh thêi] Ngù Long Long Thiªn M«n Thóc Yªu Hoµn	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Trang bÞ Hoµng Kim	4	1000	10	0	30	160	160	31	80	80																36	85	32	135	39	1							2	309	182	311	416	156										
[§Þnh thêi] Ngù Long TÊn Phong Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Trang bÞ Hoµng Kim	3	1000	10	0	30	135	135	31	80	80																36	95	32	110	39	1							2	327	183	311	319	181										
[§Þnh thêi] Ngù Long TuyÖt MÖnh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	1	1000	10	0																						36	80	39	1									129	130														
[§Þnh thêi] V« Gian û Thiªn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang bÞ Hoµng Kim	0	1000	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	99	32	110	39	4							451	446	445	448	449	461										
[§Þnh thêi] V« Gian Thanh Phong Tri Y	0	2	7	\spr\item\equip\armor\obj-fm-cloth03-2.spr	24	2	3	Trang bÞ Hoµng Kim	4	1000	10	0	30	720	720	31	90	90																36	90	32	260	39	4							2	306	193	317												
[§Þnh thêi] V« Gian PhÊt V©n Ty §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Trang bÞ Hoµng Kim	3	1000	10	0	30	160	160	31	80	80																36	85	32	135	39	4							418	309	196	307	6	425										
[§Þnh thêi] V« Gian CÇm VËn Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	Trang bÞ Hoµng Kim	1	1000	10	0	30	135	135	31	80	80																36	95	32	110	39	4							2	329	328	88	6	194										
[§Þnh thêi] V« Gian B¹ch Ngäc Ban ChØ	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	2	1000	10	0																						36	80	39	4									129	130														
[§Þnh thêi] V« Ma Ma Ni Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Trang bÞ Hoµng Kim	2	1000	10	0	30	315	315	31	85	85																36	85	32	110	39	4							2	307	420	309	6	427										
[§Þnh thêi] V« Ma Tö Kh©m Cµ Sa	0	2	7	\spr\item\equip\armor\obj-fm-cloth03-2.spr	22	2	3	Trang bÞ Hoµng Kim	0	1000	10	0	30	630	630	31	90	90																36	90	32	135	39	4							2	306	6	317												
[§Þnh thêi] V« Ma B¨ng Tinh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	4	1000	10	0	31	80	80																			36	80	39	4									129	130														
[§Þnh thêi] V« Ma TÈy T­îng Ngäc KhÊu	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Trang bÞ Hoµng Kim	1	1000	10	0	31	60	60																			36	95	39	4									495	464	496	497	498	499										
[§Þnh thêi] V« Ma Hång Tri NhuyÔn Th¸p Hµi	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	Trang bÞ Hoµng Kim	1	1000	10	0	30	140	140	31	80	80																36	99	32	110	39	4							2	320	199	88	8	330										
[§Þnh thêi] V« TrÇn Ngäc N÷ Tè T©m Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Trang bÞ Hoµng Kim	3	1000	10	0	30	315	315	31	85	85																36	90	32	110	39	4							418	309	197	312	421	420										
[§Þnh thêi] V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	Trang bÞ Hoµng Kim	1	1000	10	0																						36	99	39	4									409	500	501	502	467	503										
[§Þnh thêi] V« TrÇn Tõ Bi Ngäc Ban ChØ	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	2	1000	10	0																						36	80	39	4									129	130														
[§Þnh thêi] V« TrÇn PhËt T©m Tõ Hùu Yªu Phèi	0	9	0	\spr\item\equip\waist\obj-waist09.spr	36	1	2	Trang bÞ Hoµng Kim	0	1000	10	0																						36	95	39	4									4	158	6	332												
[§Þnh thêi] V« TrÇn PhËt Quang ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	1	49999	10	0	31	80	80																			36	85	39	4									2	419	6	203	417	115										
[§Þnh thêi] Thª Hoµng Phông Nghi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bÞ Hoµng Kim	0	1000	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	5							451	446	445	448	449	462										
[§Þnh thêi] Thª Hoµng TuÖ T©m Kinh Sa Y	0	2	18	\spr\item\equip\armor\obj-fm-cloth14-1.spr	24	2	3	Trang bÞ Hoµng Kim	4	1000	10	0	30	720	720	31	90	90																36	90	32	260	39	5							2	306	207	317												
[§Þnh thêi] Thª Hoµng Phong TuyÕt B¹ch V©n Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	Trang bÞ Hoµng Kim	3	1000	10	0	30	160	160	31	80	80																36	85	32	135	39	5							2	309	206	307	6	426										
[§Þnh thêi] Thª Hoµng B¨ng Tuy CÈm UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	Trang bÞ Hoµng Kim	1	1000	10	0	30	135	135	31	80	80																36	95	32	110	39	5							2	333	204	88	6	205										
[§Þnh thêi] Thª Hoµng Thóy Ngäc ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	2	1000	10	0																						36	80	39	5									129	130														
[§Þnh thêi] BÝch H¶i Uyªn ¦¬ng Liªn Hoµn §ao	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	Trang bÞ Hoµng Kim	2	1000	10	0	28	62	62	29	92	92	167	20	20	31	99	99										36	99	32	160	39	5							463	464	465	466	467	462										
[§Þnh thêi] BÝch H¶i Hoµn Ch©u Vò Liªn	0	4	0	\spr\item\equip\nick\obj-neck09.spr	36	2	1	Trang bÞ Hoµng Kim	0	1000	10	0																						36	95	39	5									2	95	6	107	88	211										
[§Þnh thêi] BÝch H¶i Hång Linh Kim Ty §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Trang bÞ Hoµng Kim	4	1000	10	0	30	140	140	31	80	80																36	90	32	110	39	5							2	309	210	419	421	422										
[§Þnh thêi] BÝch H¶i Hång Linh Ba	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bÞ Hoµng Kim	0	1000	10	0	31	60	60																			36	85	39	5									1	296	8	39	78	282										
[§Þnh thêi] BÝch H¶i Tiªm TÕ ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	1	1000	10	0																						36	80	39	5									129	130														
[§Þnh thêi] U Lung Kim Xµ Ph¸t §¸i	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ Hoµng Kim	1	1000	10	0	30	315	315	31	85	85																36	99	32	110	39	3							2	302	283	143	6	160										
[§Þnh thêi] U Lung XÝch H¹t BÝ Trang	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bÞ Hoµng Kim	2	1000	10	0	30	630	630	31	90	90																36	90	32	135	39	3							2	40	225	317	6	334										
[§Þnh thêi] U Lung Thanh Ng« TriÒn Yªu	0	6	1	\spr\item\equip\sash\obj-sash20.spr	32	2	1	Trang bÞ Hoµng Kim	0	1000	10	0	30	140	140	31	80	80																36	80	32	110	39	3							2	309	227	307	6	423										
[§Þnh thêi] U Lung Ng©n ThiÒm Hé Thñ	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Trang bÞ Hoµng Kim	4	1000	10	0	30	111	111	31	80	80																36	95	32	90	39	3							129	130														
[§Þnh thêi] U Long MÆc Thï NhuyÔn L÷	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ Hoµng Kim	1	1000	10	0	30	140	140	31	60	60																36	85	32	50	39	3							495	504	505	506	507	508										
[§Þnh thêi] Minh Hoan Tµ S¸t §éc §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bÞ Hoµng Kim	2	1000	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	99	32	135	39	3							455	456	449	458	468	469										
[§Þnh thêi] Vô Ho¸n U Cæ ¸m Y	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bÞ Hoµng Kim	0	1000	10	0	30	720	720	31	90	90																36	90	32	260	39	3							2	306	230	317	6	160										
[§Þnh thêi] Vô Ho¸n §éc H¹t ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	4	1000	10	0																						36	80	39	3									129	130														
[§Þnh thêi] Vô Ho¸n Hñ Cèt Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bÞ Hoµng Kim	3	1000	10	0	30	135	135	31	80	80																36	95	32	110	39	3							2	309	232	307	335	425										
[§Þnh thêi] Vô Ho¸n Song Hoµn Xµ Hµi	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ Hoµng Kim	1	1000	10	0	30	160	160	31	80	80																36	85	32	135	39	3							2	104	335	336	6	231										
[§Þnh thêi] Chó Phäc Ph¸ Gi¸p §Çu Hoµn	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ Hoµng Kim	4	1000	10	0	30	315	315	31	85	85																36	85	32	110	39	3							4	337	6	233												
[§Þnh thêi] Chó Phäc DiÖt L«i C¶nh Phï	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	3	1000	10	0																						36	99	39	3									409	509	510	502	467	503										
[§Þnh thêi] Chó Phäc U Hoan ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	1	1000	10	0																						36	80	39	3									129	130														
[§Þnh thêi] Chó Phäc Xuyªn T©m §éc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ Hoµng Kim	2	1000	10	0	30	111	111	31	80	80																36	90	32	90	39	3							418	309	161	312	421	423										
[§Þnh thêi] Chó Phäc B¨ng Háa Thùc Cèt Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bÞ Hoµng Kim	0	1000	10	0	30	140	140	31	80	80																36	95	32	110	39	3							2	104	236	27	6	235										
[§Þnh thêi] B¨ng Hµn §µn ChØ Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Trang bÞ Hoµng Kim	0	1000	10	0	28	44	44	29	100	100	167	-20	-20	31	99	99										36	99	32	90	33	110	39	2					451	470	455	456	449	471										
[§Þnh thêi] B¨ng Hµn HuyÒn y Thóc Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	23	2	3	Trang bÞ Hoµng Kim	4	1000	10	0	30	720	720	31	90	90																36	95	32	110	33	165	39	2					4	306	212	317												
[§Þnh thêi] B¨ng Hµn T©m TiÔn Yªu KhÊu	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	Trang bÞ Hoµng Kim	3	1000	10	0	30	160	160	31	80	80																36	85	32	90	33	110	39	2					418	309	212	307	6	423										
[§Þnh thêi] B¨ng Hµn HuyÒn Thiªn B¨ng Háa Béi	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Trang bÞ Hoµng Kim	1	1000	10	0																						36	80	39	2									129	130														
[§Þnh thêi] B¨ng Hµn NguyÖt ¶nh Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	Trang bÞ Hoµng Kim	2	1000	10	0	30	160	160	31	80	80																36	90	32	90	33	110	39	2					2	104	214	338	6	213										
[§Þnh thêi] Thiªn Quang Hoa Vò M¹n Thiªn	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Trang bÞ Hoµng Kim	0	1000	10	0	28	46	46	29	102	102	167	0	0	31	99	99										36	99	32	65	33	230	39	2					467	446	445	448	449	471										
[§Þnh thêi] Thiªn Ngoa §Þnh T©m Ng­ng ThÇn Phï	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bÞ Hoµng Kim	4	1000	10	0																						36	95			39	2							2	317	212	107	8											
[§Þnh thêi] Thiªn Ngoa S©m La Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	Trang bÞ Hoµng Kim	3	1000	10	0	30	111	111	31	80	80																36	90	32	90	33	110	39	2					2	309	217	307	6	425										
[§Þnh thêi] Thiªn Ngoa Phong B·o Hµn ThiÕt Träc	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bÞ Hoµng Kim	1	1000	10	0	30	135	135	31	80	80																36	85	32	75	33	90	39	2					4	339	214	317	6	216										
[§Þnh thêi] Thiªn Ngoa Thóc Thiªn Phäc §Þa Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	2	1000	10	0																						36	80			39	2							129	130														
[§Þnh thêi] S©m Hoang Phi Tinh §o¹t Hån	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Trang bÞ Hoµng Kim	0	1000	10	0	28	42	42	29	98	98	167	0	0	31	99	99										36	99	32	90	33	110	39	2					467	446	445	448	449	471										
[§Þnh thêi] S©m Hoang Kim TiÒn Liªn Hoµn Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	Trang bÞ Hoµng Kim	4	1000	10	0	30	720	720	31	90	90																36	95	32	110	33	165	39	2					4	306	212	317												
[§Þnh thêi] S©m Hoang Hån Gi¶o Yªu Thóc	0	6	0	\spr\item\equip\sash\obj-sash08.spr	32	2	1	Trang bÞ Hoµng Kim	3	1000	10	0	30	160	160	31	80	80																36	85	32	90	33	110	39	2					418	309	219	307	6	423										
[§Þnh thêi] S©m Hoang HuyÒn ThiÕt T­¬ng Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist11.spr	34	1	2	Trang bÞ Hoµng Kim	1	1000	10	0																						36	80	39	2									129	130														
[§Þnh thêi] S©m Hoang Tinh V©n Phi L÷	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ Hoµng Kim	2	1000	10	0	30	160	160	31	80	80																36	90	32	90	33	110	39	2					4	104	6	340												
[§Þnh thêi] §Þa Ph¸ch Ngò Hµnh Liªn Hoµn Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	Trang bÞ Hoµng Kim	4	1000	10	0	30	315	315	31	85	85																36	85	32	110	39	2							4	341	8	307												
[§Þnh thêi] §Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn	0	4	1	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	3	1000	10	0																						36	95	39	2									495	511	512	502	467	503										
[§Þnh thêi] §Þa Ph¸ch TÞch LÞch L«i Háa Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	1	1000	10	0																						36	80	39	2									129	130														
[§Þnh thêi] §Þa Ph¸ch KhÊu T©m Träc	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	Trang bÞ Hoµng Kim	2	1000	10	0	30	111	111	31	80	80																36	99	32	90	39	2							418	309	223	307	6	423										
[§Þnh thêi] §Þa Ph¸ch §Þa Hµnh Thiªn Lý Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ Hoµng Kim	0	1000	10	0	30	140	140	31	80	80																36	90	32	110	39	2							2	104	163	224	6											
[§Þnh thêi] §ång Cõu Phi Long §Çu Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	Trang bÞ Hoµng Kim	3	1000	10	0	30	315	315	31	85	85																36	90	32	110	39	6							2	342	237	312	6											
[§Þnh thêi] §ång Cøu Gi¸ng Long C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	Trang bÞ Hoµng Kim	4	1000	10	0	30	500	500	31	80	80																36	90	32	110	39	6							495	492	513	514	505	515										
[§Þnh thêi] §ång Cõu TiÒm Long Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	32	2	1	Trang bÞ Hoµng Kim	2	1000	10	0	30	140	140	31	80	80																36	85	32	110	39	6							2	312	239	309	6	420										
[§Þnh thêi] §ång Cõu Kh¸ng Long Hé Thñ	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Trang bÞ Hoµng Kim	0	1000	10	0	30	111	111	31	80	80																36	99	32	90	39	6							2	304	240	151	8	164										
[§Þnh thêi] §ång Cõu KiÕn Long Ban ChØ	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	4	1000	10	0																						36	80	39	6									129	130														
[§Þnh thêi] §Þch Kh¸i Lôc Ngäc Tr­îng	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang bÞ Hoµng Kim	2	1000	10	0	28	69	69	29	128	128	167	-10	-10	31	99	99										36	99	32	180	39	6							455	456	449	458	446	472										
[§Þnh thêi] §Þch Kh¸i Cöu §¸i C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	Trang bÞ Hoµng Kim	0	1000	10	0	30	720	720	31	90	90																36	90	32	260	39	6							2	306	242	312	6	289										
[§Þnh thêi] §Þch Kh¸i Phôc M·ng Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash05.spr	33	2	1	Trang bÞ Hoµng Kim	4	1000	10	0	30	160	160	31	80	80																36	95	32	135	39	6							2	309	243	312	6	343										
[§Þnh thêi] §Þch Kh¸i CÈu TÝch B× Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bÞ Hoµng Kim	3	1000	10	0	30	140	140	31	80	80																36	85	32	110	39	6							4	343	244	312												
[§Þnh thêi] §Þch Kh¸i Th¶o Gian Th¹ch Giíi	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	1	1000	10	0																						36	80	39	6									129	130														
[§Þnh thêi] Ma S¸t Quû Cèc U Minh Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang bÞ Hoµng Kim	2	1000	10	0	28	18	18	29	158	158	167	30	30	31	99	99										36	99	32	165	33	165	39	7					455	456	460	458	446	473										
[§Þnh thêi] Ma S¸t Tµn D­¬ng ¸nh HuyÕt Gi¸p	0	2	16	\spr\item\equip\armor\obj-ma-cloth09-3.spr	23	2	3	Trang bÞ Hoµng Kim	0	1000	10	0	30	720	720	31	90	90																36	90	32	210	39	7							4	306	245	317												
[§Þnh thêi] Ma S¸t XÝch Ký Táa Yªu KhÊu	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	Trang bÞ Hoµng Kim	4	1000	10	0	30	160	160	31	80	80																36	85	32	135	39	7							418	309	417	312	6	344										
[§Þnh thêi] Ma S¸t Cö Háa Liªu Thiªn UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Trang bÞ Hoµng Kim	3	1000	10	0	30	135	135	31	80	80																36	95	32	110	39	7							4	344	248	85	6	246										
[§Þnh thêi] Ma S¸t V©n Long Thæ Ch©u Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	1	1000	10	0																						36	80	39	7									129	130														
[§Þnh thêi] Ma Hoµng Kim Gi¸p Kh«i	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	Trang bÞ Hoµng Kim	0	1000	10	0	30	315	315	31	85	85																36	90	32	110	39	7							409	516	517	518	493	519										
[§Þnh thêi] Ma Hoµng ¸n XuÊt Hæ H¹ng Khuyªn	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	Trang bÞ Hoµng Kim	4	1000	10	0	31	60	60																			36	95	39	7									1	60	62	95	87	107										
[§Þnh thêi] Ma Hoµng Khª Cèc Thóc Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash18.spr	32	2	1	Trang bÞ Hoµng Kim	3	1000	10	0	30	140	140	31	80	80																36	85	32	110	39	7							2	309	254	312	6	420										
[§Þnh thêi] Ma Hoµng HuyÕt Y Thó Träc	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ Hoµng Kim	1	1000	10	0	30	111	111	31	80	80																36	80	32	90	39	7							129	130														
[§Þnh thêi] Ma Hoµng §¨ng §¹p Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	Trang bÞ Hoµng Kim	2	1000	10	0	30	140	140	31	80	80																36	99	32	110	39	7							4	320	255	312	6	256										
[§Þnh thêi] Ma ThÞ LiÖt Háa Qu¸n MiÖn	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	Trang bÞ Hoµng Kim	3	1000	10	0	30	315	315	31	85	85																36	85	32	110	39	7							2	345	250	150	6	165										
[§Þnh thêi] Ma ThÞ LÞch Ma PhÖ T©m Liªn	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	Trang bÞ Hoµng Kim	1	1000	10	0																						36	95	39	7									2	317	8	107												
[§Þnh thêi] Ma ThÞ NghiÖp Háa U Minh Giíi	0	3	0	\spr\item\equip\ring\obj-ring03.spr	37	1	1	Trang bÞ Hoµng Kim	2	1000	10	0																						36	80	39	7									129	130														
[§Þnh thêi] Ma ThÞ HuyÕt Ngäc ThÊt S¸t Béi	0	9	1	\spr\item\equip\waist\obj-waist13.spr	34	1	2	Trang bÞ Hoµng Kim	0	1000	10	0																						36	90	39	7									2	309	252	311	6	420										
[§Þnh thêi] Ma Hoµng S¬n H¶i Phi Hång L÷	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bÞ Hoµng Kim	4	1000	10	0	30	140	140	31	80	80																36	99	32	110	39	7							409	520	521	518	493	522										
[§Þnh thêi] L¨ng Nh¹c Th¸i Cùc KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	Trang bÞ Hoµng Kim	4	49999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	90	32	80	39	8							2	152	6	311	423	167										
[§Þnh thêi] L¨ng Nh¹c V« Ng· §¹o Bµo	0	2	15	\spr\item\equip\armor\obj-ma-cloth06-3.spr	24	2	3	Trang bÞ Hoµng Kim	3	1000	10	0	30	630	630	31	90	90																36	95	32	130	39	8							2	306	263	313	6	285										
L¨ng Nh¹c Né L«i Giíi (kú h¹n)	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	1	1000	10	0																						36	85	39	8									2	309	265	313	6	417										
[§Þnh thêi] L¨ng Nh¹c V« Cùc HuyÒn Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Trang bÞ Hoµng Kim	2	1000	10	0																						36	99	39	8									409	523	524	525	467	526										
[§Þnh thêi] L¨ng Nh¹c Thiªn §Þa HuyÒn Hoµng Giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	0	1000	10	0																						36	80	39	8									129	130														
[§Þnh thêi] CËp Phong Ch©n Vâ KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang bÞ Hoµng Kim	2	1000	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	99	32	135	39	8							455	456	460	458	446	474										
